id,category,title,description
1,Pendaftaran,Bagaimana cara mendaftar kursus?,"Kunjungi https://pusatbahasa.uinjkt.ac.id/pendaftaran, isi formulir online, dan lakukan pembayaran."
2,Pendaftaran,Apakah ada batas waktu pendaftaran?,Pendaftaran ditutup 2 minggu sebelum kursus dimulai.
3,Pembayaran,Metode pembayaran apa yang diterima?,"Transfer bank (BCA/Mandiri), e-wallet (GoPay, OVO), dan kartu kredit."
4,Pembayaran,Apakah bisa dicicil?,Maksimal 2 kali cicilan tanpa bunga dengan minimum pembayaran 50% di awal.
5,Sertifikat,Apakah ada sertifikat setelah selesai kursus?,"Ya, sertifikat resmi Pusat Pengembangan Bahasa UIN Syarif Hidayatullah Jakarta."
6,Refund,Bagaimana kebijakan refund?,"Refund 75% jika pembatalan > 7 hari sebelum mulai, 50% jika 3â€“7 hari, dan 0% jika < 3 hari."
7,Operasional,Jam operasional Pusat Pengembangan Bahasa?,"Seninâ€“Jumat: 08:00â€“16:00, Sabtu: 08:00â€“12:00."
8,Kontak,Bagaimana menghubungi admin?,Email ke ppb@uinjkt.ac.id atau telepon ke (021) 7828 1234.
9,Teknis,Apakah kursus online juga tersedia?,"Ya, tersedia via Zoom dengan link khusus peserta."
10,Teknis,Bagaimana cara akses materi online?,Login ke portal e-learning dengan akun yang diberikan setelah pembayaran.
11,Program,Apakah ada program beasiswa?,"Saat ini belum, tetapi cek pengumuman rutin di website."
12,Level,Bagaimana menentukan level kursus?,Ikuti placement test online gratis sebelum daftar.
13,Modul,Apa saja materi yang dipelajari?,"Grammar, vocabulary, listening, speaking, reading, writing sesuai silabus."
14,Perubahan,Bisakah mengubah jadwal setelah daftar?,"Ya, dengan surcharge 100K jika permintaan 3 hari sebelum kelas."
15,Diskon,Apakah ada diskon group?,Diskon 10% untuk kelompok minimal 3 orang.
